Категория;Значение;Примечание
основа;Ж/б;Железобетон — несущие перекрытия, колонны
основа;Пеноблок;
основа;Кирпич;
основа;Бетон;
основа;Сэндвич;Сэндвич-панель, ограждающие конструкции
основа;Металл;Металлоконструкции, фермы
отделка;Без отделки;
отделка;Штукатурка;
отделка;Гипсокартон;
отделка;Окрашено;
отделка;Плитка;
крепёж;Нет;
крепёж;Анкерные болты;
крепёж;Химические анкеры;
крепёж;Сварка;ВНИМАНИЕ: влечёт огневые работы (наряд-допуск)
крепёж;Через деревянные пояса и лежень;
крепёж;Метрический крепёж;
геометрия;Вертикаль;
геометрия;Слабые нависания;
геометрия;Средние нависания;
геометрия;Сильные нависания;
геометрия;Нос/карниз;
геометрия;Грот;
геометрия;Новички;
геометрия;Обучение;
геометрия;Соревнования;
геометрия;Коммерческие трассы;
каркас;Деревянный;
каркас;Металлический;
каркас;Деревянно-металлический;
покрытие;Полиуретановый лак;
покрытие;Краска;
покрытие;Лак/краска по дизайн-проекту;Наносится на монтаже, резкий запах
покрытие;Шершавое фрикционное;
фанера;18;Толщина, мм
фанера;21;Толщина, мм
сетка;М10, шаг 150–160мм;Менее 25 шт/м²
сетка;М10, шаг 150мм, менее 25 шт/м²;
сетка;Без отверстий;Для Kilter/Tension/Campus
панель;Фанера 18 мм, М10;Сетка 150–160 мм, менее 25 шт/м²
панель;Фанера 21 мм, М10;Усиленная
мат;ПВХ 900 гр/м²;Серый, ПВВ 45гр 50мм + EL 22гр 250мм
мат;Ковролин армированный;Серый, полиамид на велкро
типовой_элемент;Kilterboard;Рама, панели, двигатели, разметка; требует электрику
типовой_элемент;Moonboard;Типовой тренажёр Moon Climbing
типовой_элемент;Tensionboard;Регулировка наклона
типовой_элемент;Campusboard;Кампусборд
